curb-weight,engine-size,length,width,horsepower,city-mpg,highway-mpg,wheel-base,bore,price
2818,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.59,12764.0
2778,151,0.8116290245074483,0.9486111111111112,143.0,19,27,94.5,3.94,22018.0
2756,194,0.8116290245074483,0.9027777777777778,207.0,17,25,89.5,3.74,32528.0
2756,194,0.8116290245074483,0.9027777777777778,207.0,17,25,89.5,3.74,34028.0
2800,194,0.8116290245074483,0.9027777777777778,207.0,17,25,89.5,3.74,37028.0
2579,132,0.8721768380586257,0.9236111111111112,104.256157635468,23,31,96.1,3.46,9295.0
2460,132,0.8495915425276309,0.925,104.256157635468,23,31,96.1,3.46,9895.0
2658,121,0.8966842864007688,0.9236111111111112,110.0,21,28,99.1,3.54,11850.0
2695,121,0.8966842864007688,0.9236111111111112,110.0,21,28,99.1,3.54,12170.0
2707,121,0.8966842864007688,0.9236111111111112,110.0,21,28,99.1,2.54,15040.0
2758,121,0.8966842864007688,0.9236111111111112,110.0,21,28,99.1,3.54,15510.0
2808,121,0.8966842864007688,0.9236111111111112,160.0,19,26,99.1,3.54,18150.0
2847,121,0.8966842864007688,0.9236111111111112,160.0,19,26,99.1,3.54,18620.0
2050,97,0.7539644401729938,0.8805555555555555,69.0,31,36,93.7,3.62,5118.0
2120,108,0.758769822200865,0.8833333333333333,73.0,26,31,93.7,3.62,7053.0
2240,108,0.7558865929841423,0.8861111111111111,73.0,26,31,93.3,3.62,7603.0
2145,108,0.8265257087938491,0.9083333333333334,82.0,32,37,97.2,3.62,7126.0
2190,108,0.8265257087938491,0.9083333333333334,82.0,28,33,97.2,3.62,7775.0
2340,108,0.8265257087938491,0.9083333333333334,94.0,26,32,97.2,3.62,9960.0
2385,108,0.8265257087938491,0.9083333333333334,82.0,24,25,97.0,3.62,9233.0
2510,108,0.8265257087938491,0.9083333333333334,111.0,24,29,97.0,3.62,11259.0
2290,108,0.8337337818356559,0.9083333333333334,82.0,28,32,97.0,3.62,7463.0
2455,108,0.8337337818356559,0.9083333333333334,94.0,25,31,97.0,3.62,10198.0
2420,108,0.8342143200384431,0.9083333333333334,82.0,23,29,96.9,3.62,8013.0
2650,108,0.8342143200384431,0.9083333333333334,111.0,23,23,96.9,3.62,11694.0
1985,92,0.762614127823162,0.8833333333333333,62.0,35,39,95.7,3.05,5348.0
2040,92,0.762614127823162,0.8833333333333333,62.0,31,38,95.7,3.05,6338.0
2015,92,0.762614127823162,0.8833333333333333,62.0,31,38,95.7,3.05,6488.0
2280,92,0.8154733301297453,0.8833333333333333,62.0,31,37,95.7,3.05,6918.0
2290,92,0.8154733301297453,0.8833333333333333,62.0,27,32,95.7,3.05,7898.0
3110,92,0.8154733301297453,0.8833333333333333,62.0,27,32,95.7,3.05,8778.0
2081,98,0.7991350312349833,0.8944444444444445,70.0,30,37,95.7,3.19,6938.0
2109,98,0.7991350312349833,0.8944444444444445,70.0,30,37,95.7,3.19,7198.0
2275,110,0.7991350312349833,0.8944444444444445,56.0,34,36,95.7,3.27,7898.0
2275,110,0.7991350312349833,0.8944444444444445,56.0,38,47,95.7,3.27,7788.0
2094,98,0.7991350312349833,0.8944444444444445,70.0,38,47,95.7,3.19,7738.0
2122,98,0.7991350312349833,0.8944444444444445,70.0,28,34,95.7,3.19,8358.0
2140,98,0.7991350312349833,0.8944444444444445,70.0,28,34,95.7,3.19,9258.0
2169,98,0.810667948101874,0.8888888888888888,70.0,29,34,94.5,3.19,8058.0
2204,98,0.810667948101874,0.8888888888888888,70.0,29,34,94.5,3.19,8238.0
2265,98,0.810667948101874,0.8888888888888888,112.0,26,29,94.5,3.24,9298.0
2300,98,0.810667948101874,0.8888888888888888,112.0,26,29,94.5,3.24,9538.0
2540,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,8449.0
2536,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,9639.0
2551,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,9989.0
2679,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,11199.0
2714,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,11549.0
2975,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,17669.0
2326,122,0.8438250840941854,0.9236111111111112,92.0,29,34,102.4,3.31,8948.0
2480,110,0.8438250840941854,0.9236111111111112,73.0,30,33,102.4,3.27,10698.0
2414,122,0.8438250840941854,0.9236111111111112,92.0,27,32,102.4,3.31,9988.0
2414,122,0.8438250840941854,0.9236111111111112,92.0,27,32,102.4,3.31,10898.0
2458,122,0.8438250840941854,0.9236111111111112,92.0,27,32,102.4,3.31,11248.0
2976,171,0.8817876021143681,0.9402777777777778,161.0,20,24,102.9,3.27,16558.0
3016,171,0.8817876021143681,0.9402777777777778,161.0,19,24,102.9,3.27,15998.0
3131,171,0.9024507448342144,0.9236111111111112,156.0,20,24,104.5,3.27,15690.0
3151,161,0.9024507448342144,0.9236111111111112,156.0,19,24,104.5,3.27,15750.0
2261,97,0.8250840941854877,0.9097222222222222,52.0,37,46,97.3,3.01,7775.0
2209,109,0.8250840941854877,0.9097222222222222,85.0,27,34,97.3,3.19,7975.0
2264,97,0.8250840941854877,0.9097222222222222,52.0,37,46,97.3,3.01,7995.0
2212,109,0.8250840941854877,0.9097222222222222,85.0,27,34,97.3,3.19,8195.0
2275,109,0.8250840941854877,0.9097222222222222,85.0,27,34,97.3,3.19,8495.0
2319,97,0.8250840941854877,0.9097222222222222,68.0,37,42,97.3,3.01,9495.0
2300,109,0.8250840941854877,0.9097222222222222,100.0,26,32,97.3,3.19,9995.0
2254,109,0.7654973570398848,0.8916666666666667,90.0,24,29,94.5,3.19,11595.0
2221,109,0.7962518020182604,0.8888888888888888,90.0,24,29,94.5,3.19,9980.0
2661,136,0.8659298414223928,0.9291666666666668,110.0,19,24,100.4,3.19,13295.0
2579,97,0.8659298414223928,0.9291666666666668,68.0,33,38,100.4,3.01,13845.0
2563,109,0.8798654493032196,0.9291666666666668,88.0,25,31,100.4,3.19,12290.0
2912,141,0.9072561268620856,0.9333333333333332,114.0,23,28,104.3,3.78,12940.0
3034,141,0.9072561268620856,0.9333333333333332,114.0,23,28,104.3,3.78,13415.0
2935,141,0.9072561268620856,0.9333333333333332,114.0,24,28,104.3,3.78,15985.0
3042,141,0.9072561268620856,0.9333333333333332,114.0,24,28,104.3,3.78,16515.0
3045,130,0.9072561268620856,0.9333333333333332,162.0,17,22,104.3,3.62,18420.0
3157,130,0.9072561268620856,0.9333333333333332,162.0,17,22,104.3,3.62,18950.0
2952,141,0.9072561268620856,0.9569444444444444,114.0,23,28,109.1,3.78,16845.0
3049,141,0.9072561268620856,0.9555555555555556,160.0,19,25,109.1,3.78,19045.0
3012,173,0.9072561268620856,0.9569444444444444,134.0,18,23,109.1,3.58,21485.0
3217,145,0.9072561268620856,0.9569444444444444,106.0,26,27,109.1,3.01,22470.0
3062,141,0.9072561268620856,0.9569444444444444,114.0,19,25,109.1,3.78,22625.0
